food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf,is_featured
142186,23036,Buttermilk Crispy Chicken Biscuit,1 Order,570,28,10,0,60,1380,55,3,2,24,0,0,0,0,0,0,0,0
142187,23036,Southern Style Chicken Scratch Biscuit Pressure Fried,1 Order,460,23,8,0,75,1160,49,2,4,15,0,0,0,0,0,0,0,0
142188,23036,Hot N Spicy McChicken Scratch Biscuit,1 Order,460,23,9,0,75,1090,49,3,3,14,0,0,0,0,0,0,0,0
142189,23036,Buttermilk Crispy Tenders 2 pc,1 Order,250,13,2,0,55,700,13,0,0,20,0,0,0,0,0,0,0,0
142190,23036,Buttermilk Crispy Tenders 4 pc,1 Order,500,27,4,0,110,1390,25,0,1,39,0,0,0,0,0,0,0,0
142191,23036,Buttermilk Crispy Tenders 10 pc,1 Order,1250,67,10,0,270,3480,63,1,2,98,0,0,0,0,0,0,0,0
142192,23036,Signature Sriracha Buttermilk Crispy Chicken on Artisan Roll,1 Order,760,36,9,0.5,85,1430,75,5,13,34,0,0,0,0,0,0,0,0
142193,23036,Signature Sriracha Artisan Grilled Chicken on Artisan Roll,1 Order,590,22,7,0,125,1390,56,3,14,43,0,0,0,0,0,0,0,0
142194,23036,Buttermilk Crispy Tenders 6 pc,1 Order,750,40,6,0,160,2090,38,1,1,59,0,0,0,0,0,0,0,0
142195,23036,Buttermilk Crispy Chicken Tenders (20 piece),1 Order,2500,135,20,1,540,6950,126,2,3,195,0,0,0,0,0,0,0,0
142196,23036,Buttermilk Crispy Chicken Tenders Pressure Fried (4 piece),1 Order,480,24,3.5,0,110,1430,22,0,0,42,0,0,0,0,0,0,0,0
142197,23036,Buttermilk Crispy Chicken Tenders Pressure Fried (10 piece),1 Order,1190,60,9,0,280,3570,56,1,0,105,0,0,0,0,0,0,0,0
