,Calories (kcal),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fibre (g),Sugars (g),Protein (g),Vitamin A,Vitamin C,Calcium,Iron
Strawberry Banana Julius - Medium,460,7,7,0.1,0,100,100,2,88,3,0,0,0,0
Strawberry Banana Julius - Simple Syrup - Medium,530,8,7,0.1,0,105,121,3,108,3,0,0,0,0
Strawberry Banana Julius - Large,670,9,9,0.1,0,140,148,3,131,4,0,0,0,0
Strawberry Banana Julius - Simple Syrup - Large,810,12,11,0.1,0,160,185,4,164,5,0,0,0,0
Strawberry Julius - Small,220,0.2,0,0,0,35,58,1,56,1,0,0,0,0
Strawberry Julius - Medium,300,0.3,0,0,0,45,77,1,74,1,0,0,0,0
Strawberry Julius - Simple Syrup - Small,300,0.1,0,0,0,35,81,1,79,1,0,0,0,0
Strawberry Julius - Simple Syrup - Medium,390,0.1,0,0,0,45,106,1,104,1,0,0,0,0
Strawberry Julius - Large,450,0.4,0,0,0,70,116,1,112,1,0,0,0,0
Strawberry Julius - Simple Syrup - Large,600,0.2,0,0,0,65,163,1,158,1,0,0,0,0
Strawberry Watermelon Julius - Small,240,0.2,0,0,0,40,60,0,57,0.4,0,0,0,0
Strawberry Watermelon Julius - Simple Syrup - Small,270,0,0,0,0,30,71,0,69,0.4,0,0,0,0
Strawberry Watermelon Julius - Medium,310,0.2,0,0,0,50,80,1,76,1,0,0,0,0
Strawberry Watermelon Julius - Simple Syrup - Medium,360,0.1,0,0,0,40,96,0,93,0.5,0,0,0,0
Strawberry Watermelon Julius - Large,470,0.3,0,0,0,75,120,1,115,1,0,0,0,0
Strawberry Watermelon Julius - Simple Syrup - Large,550,0.1,0,0,0,65,146,1,141,1,0,0,0,0
Tripleberry Julius - Small,340,5,4.5,0.1,0,70,74,1,68,1,0,0,0,0
Tripleberry Julius - Simple Syrup - Small,460,6,6,0.1,0,80,105,2,97,2,0,0,0,0
Tripleberry Julius - Medium,470,7,7,0.1,0,100,102,2,92,2,0,0,0,0
Tripleberry Julius - Simple Syrup - Medium,600,8,7,0.1,0,105,137,2,127,3,0,0,0,0
Tripleberry Julius - Large,680,10,9,0.1,0,140,148,2,136,3,0,0,0,0
Tripleberry Julius - Simple Syrup - Large,910,12,11,0.1,0,160,209,3,193,4,0,0,0,0
